ip,hits
162.142.125.194,68
123.191.131.91,2
152.32.238.132,6
42.63.51.140,2
113.120.56.134,3
171.120.24.172,2
47.236.97.81,118
111.113.88.11,6
167.94.138.184,45
49.113.93.62,2
58.212.237.121,2
116.172.201.191,4
164.92.130.116,2
64.62.156.93,8
1.20.233.127,4
148.113.206.49,684
193.163.125.254,77
167.94.138.145,48
198.235.24.120,8
64.62.156.88,22
43.131.253.14,16
64.62.156.158,9
104.232.37.12,16
83.222.191.150,183
193.163.125.74,8
198.235.24.89,34
64.62.156.152,66
167.94.145.81,18
167.94.146.48,53
205.210.31.165,37
172.56.50.234,39
5.62.43.205,15
35.202.9.133,21
128.14.231.154,10
147.185.133.234,3
23.227.142.146,8
45.144.212.221,79
135.237.122.155,14
115.231.78.11,2998
80.66.75.139,520
206.168.34.87,62
2.59.22.234,99
88.202.190.133,4
108.247.49.203,14
198.235.24.173,37
64.72.218.178,313
167.94.138.173,44
194.180.49.218,1244
162.142.125.226,28
83.222.190.234,209
78.128.112.26,250
152.32.128.204,8
192.145.173.96,1147
184.105.247.194,66
76.206.33.22,378
72.22.236.63,344
159.242.227.22,6
198.74.57.47,343
104.47.160.162,45
91.196.152.38,38
193.163.125.80,13
196.251.114.158,59
117.202.140.142,2
91.196.152.37,32
135.237.125.174,8
88.214.25.24,1122
193.163.125.108,6
162.216.150.224,7
184.105.247.246,6
141.98.10.162,9176
147.185.132.129,25
152.32.201.119,2
45.134.225.119,14
198.235.24.68,21
83.222.191.190,651
167.94.138.138,28
80.94.92.50,401
83.222.191.166,451
89.187.166.18,15
103.102.230.4,689
107.150.0.18,66
91.230.168.194,59
162.216.149.190,36
20.150.201.239,8
101.36.110.201,17
95.214.53.84,350
71.121.177.139,334
65.24.175.85,141
159.223.238.4,3
5.188.206.70,268
205.210.31.207,29
87.121.84.16,843
162.142.125.222,24
89.248.163.214,757
165.154.18.125,12
213.209.143.206,528
3.149.59.26,911
91.191.209.74,195
141.98.11.89,135
123.178.210.179,3
123.178.210.5,2
91.196.152.17,15
91.196.152.2,73
220.197.51.100,4
111.224.220.250,2
147.185.133.76,18
112.94.252.5,2
91.196.152.23,19
220.250.10.89,3
86.54.31.36,255
47.251.92.56,20
162.216.150.174,28
148.113.210.228,2453
35.146.194.67,10
147.185.132.183,29
196.216.92.86,6
35.146.77.166,6
65.49.20.69,146
118.190.149.150,94
170.64.204.247,14
64.62.197.204,8
5.62.43.190,6
64.62.197.197,76
64.62.197.201,7
172.212.224.104,11
152.32.141.40,24
65.49.20.117,16
80.94.92.62,413
199.45.154.176,36
199.45.154.132,6
199.45.154.32,469
75.87.109.194,32
147.185.132.109,16
162.142.125.227,26
99.154.5.194,113
192.241.157.127,8
95.214.53.196,383
95.214.52.233,379
35.203.211.96,14
47.93.144.128,12
162.216.150.38,9
83.222.190.230,669
83.222.190.102,651
83.222.191.2,225
76.33.230.39,101
98.97.26.16,47
64.62.156.38,112
64.62.156.48,22
77.234.43.149,12
49.206.96.226,2
68.226.30.87,187
221.179.250.60,2
91.196.152.124,28
71.6.134.235,129
91.196.152.34,41
148.113.208.45,2324
45.144.115.35,2
35.203.211.22,27
83.222.191.6,229
64.62.156.41,10
152.86.92.74,314
205.210.31.39,34
91.231.89.113,14
206.168.34.164,30
5.188.206.114,495
172.59.114.51,12
206.168.34.77,35
152.32.206.49,4
141.98.11.124,264
98.167.180.197,10
5.62.43.239,12
116.58.251.29,4
165.154.10.187,8
119.98.123.156,3
196.251.91.13,16
78.128.112.102,269
91.224.92.17,328
47.254.148.248,12
20.169.104.121,11
91.196.152.125,29
147.45.112.157,960
185.224.128.17,909
162.216.150.29,22
135.119.96.82,8
91.191.209.214,278
205.210.31.87,43
35.146.136.21,145
75.211.194.105,86
46.8.112.33,6
204.210.112.124,95
159.242.227.52,9
98.144.208.130,52
78.128.112.98,255
167.94.146.61,208
213.209.143.30,2
205.210.31.246,42
216.73.160.220,46
149.22.88.166,4
67.184.92.210,26
38.132.109.165,6
80.94.95.118,101
218.15.171.90,6
60.191.125.35,20
35.203.211.176,26
194.50.16.198,297
35.203.211.67,27
14.103.162.224,688
205.210.31.146,5
194.180.49.219,912
172.75.105.195,286
99.241.48.110,109
162.216.150.199,7
148.113.214.204,2403
73.88.219.157,337
5.62.43.207,18
83.222.190.66,445
198.235.24.73,29
80.94.95.112,1379
45.194.66.6,238
113.30.150.23,43
198.235.24.46,26
91.231.89.8,17
196.251.117.117,104
152.32.247.22,78
159.242.227.53,6
47.251.88.238,9
167.94.145.22,46
167.94.146.55,89
116.205.103.121,3
152.32.164.139,2
124.31.107.184,2
78.128.113.110,273
218.104.149.50,6
165.154.41.115,5
185.242.226.46,154
197.158.21.33,3
185.224.128.23,90
50.116.23.178,18
68.0.32.12,208
121.141.243.239,31
192.155.84.147,26
104.237.132.58,20
73.209.156.14,305
45.79.214.122,14
185.218.84.178,447
172.236.228.224,44
194.195.208.213,12
66.175.213.4,56
71.58.93.79,96
104.237.132.63,31
38.141.20.46,290
78.153.140.207,243
91.196.152.221,36
104.237.150.123,26
66.251.200.146,348
83.222.191.42,1179
45.33.12.231,30
135.237.126.223,9
97.107.134.31,24
5.62.43.230,12
96.126.98.168,11
45.79.128.205,34
173.255.248.25,12
172.105.128.11,57
5.231.31.71,3
45.79.67.28,14
135.237.127.68,4
45.56.94.61,20
172.236.228.218,45
173.42.106.74,281
198.235.24.202,27
139.177.206.6,29
194.195.208.25,16
74.207.253.160,22
165.154.29.173,8
194.195.208.70,22
162.216.18.241,20
45.33.96.41,24
45.79.181.104,23
91.230.168.98,53
65.34.195.114,42
124.78.37.220,6
50.116.2.219,14
45.79.214.253,20
173.230.155.151,12
45.56.72.13,22
205.210.31.77,25
153.223.185.172,4
95.215.0.144,422
154.192.140.188,6
76.37.224.11,285
115.247.46.121,1205
73.77.208.86,381
83.222.191.178,299
59.1.245.206,10
205.210.31.36,41
5.62.43.138,9
20.169.105.13,17
74.197.14.110,29
103.152.164.171,23
185.218.84.47,530
111.113.72.37,8
104.58.64.161,34
220.82.220.176,7
193.148.18.52,20
147.185.133.166,36
89.248.167.131,137
86.106.87.114,52
154.212.141.8,14
144.202.82.88,98
35.203.211.64,8
165.154.182.223,9
204.102.65.14,401
24.228.194.9,149
176.65.148.57,52
45.194.66.7,385
67.173.245.88,366
221.166.190.210,6
220.122.59.73,6
159.242.227.58,6
20.150.193.32,24
194.164.107.5,58
121.52.159.143,196
205.210.31.208,47
205.210.31.18,10
147.185.132.232,12
103.93.113.213,4
165.154.163.10,179
123.58.200.120,18
71.6.232.27,29
216.235.112.33,38
65.49.1.162,50
162.216.149.231,14
142.196.200.106,173
35.203.211.129,9
141.148.177.10,3
50.215.248.146,230
24.159.154.206,122
195.178.110.108,1087
35.197.176.43,2
46.19.141.90,417
5.62.43.240,12
185.218.84.46,684
167.94.145.18,33
181.174.142.180,3
167.94.146.56,88
198.235.24.205,31
206.123.145.237,21
20.84.152.213,8
5.62.43.137,6
207.90.244.14,226
65.49.1.13,7
47.237.115.242,27
65.49.1.20,11
167.94.138.125,52
165.154.164.37,6
64.62.197.223,4
65.49.1.10,60
35.203.210.165,16
160.2.12.96,15
83.222.191.62,28
205.210.31.176,25
24.228.119.155,6
206.168.34.174,34
20.15.200.1,12
65.49.1.23,9
73.192.66.94,91
3.136.67.107,171
204.76.203.206,844
65.49.1.19,4
20.80.88.32,18
194.0.234.21,260
152.32.140.188,12
159.242.227.60,7
167.94.146.29,48
114.7.20.60,18
110.235.246.108,6
35.203.211.168,21
162.142.125.122,79
35.203.210.126,19
47.144.0.148,15
52.180.146.145,8
12.17.5.111,345
195.230.103.247,6
193.32.162.141,403
35.203.211.9,25
203.144.76.191,6
167.94.138.137,24
206.168.34.44,49
167.94.138.191,81
152.32.135.48,12
47.250.81.130,40
167.94.138.62,40
167.94.146.28,44
5.62.43.241,9
91.231.89.4,27
91.231.89.5,41
40.124.175.174,6
20.169.105.0,14
213.209.143.78,156
59.88.63.137,2
185.169.4.150,150
167.94.146.22,53
167.94.145.107,136
,0
151.101.2.49,10
5.188.206.2,271
199.45.155.69,9
206.168.34.76,48
165.154.129.130,10
47.144.151.39,27
89.116.154.100,23
198.55.98.129,226
64.62.197.39,10
64.62.197.32,66
64.62.197.36,11
193.163.125.92,9
176.65.148.10,22034
147.185.133.1,8
167.94.138.136,20
205.210.31.81,36
116.71.29.52,14
71.6.232.24,46
159.242.227.118,6
50.239.6.70,377
193.163.125.95,6
217.144.184.3,146
64.62.197.41,8
172.59.107.156,58
20.150.202.159,5
118.194.250.245,4
45.135.193.162,96
205.210.31.19,13
20.168.121.187,12
223.16.173.21,2
20.168.7.169,4
129.222.87.63,511
18.221.137.47,171
101.36.97.187,4
91.231.89.212,33
162.216.150.141,17
91.231.89.80,33
159.242.227.147,12
35.203.211.18,15
218.161.93.12,7
162.142.125.235,46
108.88.208.111,382
115.97.50.140,2
80.94.95.15,3357
184.105.247.250,9
206.168.34.94,82
24.236.95.228,128
5.62.43.186,12
167.94.138.59,25
193.163.125.81,8
52.14.58.0,165
196.251.91.73,32
154.212.141.6,16
20.64.96.40,6
167.94.138.109,38
47.237.113.20,30
104.243.167.157,24
198.235.24.212,15
147.185.132.211,16
99.250.130.246,103
147.185.132.135,16
159.89.47.106,14
151.44.194.137,120
92.63.197.210,266
91.231.89.6,22
83.222.190.238,210
89.187.166.27,9
91.196.152.191,50
91.196.152.223,36
167.94.138.186,54
162.216.149.203,19
164.92.202.44,2
67.163.15.87,272
162.142.125.206,31
50.76.64.157,338
64.62.156.228,10
64.62.156.222,65
93.152.230.139,86
18.190.163.148,166
162.247.54.208,420
87.121.84.179,911
167.94.138.147,36
167.94.138.161,34
103.244.173.8,6
162.142.125.143,42
97.181.225.176,4
162.142.125.95,20
176.65.149.182,82
206.168.34.149,39
64.62.197.122,57
167.94.138.174,58
176.65.148.66,58
71.246.229.58,90
167.94.138.38,25
18.223.104.85,166
185.205.239.55,308
147.185.132.120,21
18.117.57.162,167
73.206.149.86,56
5.62.43.204,6
206.168.34.175,39
147.185.132.97,32
64.62.197.127,6
162.216.149.100,14
166.113.83.237,139
162.142.125.197,31
89.116.218.20,30
99.10.78.134,323
91.196.152.18,79
77.105.182.98,28
71.6.134.231,70
167.71.133.68,24
162.142.125.135,41
198.199.121.92,2
43.100.128.140,2
162.216.149.233,13
221.145.167.252,15
73.148.133.48,360
35.203.211.174,17
5.62.43.238,6
167.94.138.197,40
66.27.7.158,2
205.210.31.163,33
76.183.152.87,299
35.203.211.15,20
198.235.24.224,18
49.15.246.144,8
147.185.133.51,7
35.203.211.10,10
162.142.125.94,28
5.62.43.206,6
205.210.31.69,21
217.154.231.67,8601
199.83.162.141,14
165.154.138.3,8
134.199.202.6,11
47.251.90.213,37
167.94.146.62,113
5.62.43.217,6
152.32.159.212,8
107.140.48.140,289
205.210.31.203,23
5.188.206.54,237
147.185.133.6,16
184.105.247.218,4
76.64.170.76,2
45.92.229.119,66
147.185.132.132,24
199.45.154.145,12
94.103.183.154,4
47.242.235.223,2
167.94.146.23,54
91.191.209.218,215
162.216.150.31,22
,0
98.116.143.82,76
162.216.149.110,37
146.88.240.130,8
73.66.98.135,370
199.45.154.181,46
213.209.143.176,238
35.203.210.106,10
43.231.113.174,720
45.55.133.93,17
195.178.110.160,2312
5.62.43.178,12
128.1.210.10,735
198.235.24.238,44
167.94.138.104,26
147.185.132.242,9
146.70.63.130,4
162.142.125.32,41
34.140.220.111,27
69.242.240.226,88
91.231.89.213,34
176.65.150.55,125
152.32.140.198,10
206.168.34.42,36
96.36.7.11,2
69.152.171.125,163
216.250.251.47,30
36.50.122.144,34
72.181.242.158,214
159.242.227.20,12
79.124.60.242,28
35.203.211.252,13
155.94.155.85,46
205.210.31.59,17
71.6.146.130,100
167.94.145.111,112
64.62.156.162,62
76.34.79.65,70
162.226.224.125,270
167.94.145.102,120
86.54.31.38,118
193.163.125.96,6
74.78.145.180,253
195.184.76.115,15
195.184.76.21,22
20.14.87.238,11
3.148.147.222,166
206.168.34.131,22
64.62.156.165,10
167.94.138.201,48
34.59.159.148,34
35.203.211.48,17
167.94.145.80,18
162.142.125.137,32
152.32.235.206,8
83.222.191.130,195
199.45.155.81,2
45.33.113.96,18
159.242.227.36,6
174.87.26.101,214
107.174.224.18,251
35.203.211.154,32
104.237.132.65,12
206.168.34.161,36
146.88.240.170,8
65.49.1.38,200
65.49.1.39,11
165.154.134.203,12
108.167.178.116,73
172.236.228.202,17
65.49.1.43,8
83.222.191.158,368
52.14.122.207,164
45.33.96.214,27
52.188.231.42,8
188.134.85.113,2
198.235.24.198,27
65.49.1.48,12
195.184.76.106,24
128.14.209.2,697
134.199.207.201,37
195.184.76.25,13
77.234.43.132,6
134.209.228.219,178
199.45.154.148,8
118.141.29.70,2
,0
172.236.228.115,28
50.116.23.67,20
103.106.105.251,4
98.98.210.66,725
79.124.58.198,924
5.62.43.143,10
64.62.156.94,115
167.94.145.93,24
147.185.132.146,40
65.49.1.194,6
65.49.1.192,45
75.90.193.66,306
64.62.156.96,8
167.94.146.60,188
97.107.139.94,16
195.184.76.237,7
195.184.76.15,7
172.236.228.227,52
167.94.138.181,74
185.156.46.113,16
198.235.24.164,20
74.219.166.230,405
76.251.99.69,236
176.65.148.220,81
73.87.245.18,277
147.185.132.225,35
167.94.138.113,50
162.216.150.228,28
206.168.34.148,28
205.210.31.43,24
60.13.138.168,2
112.94.253.186,4
180.136.234.22,2
71.72.224.57,50
1.83.125.31,3
20.14.74.238,16
1.24.16.199,2
207.90.244.19,466
206.168.34.168,33
59.178.47.191,4
64.62.197.62,74
61.134.123.140,7
91.148.190.150,309
193.163.125.76,6
5.62.43.183,6
218.104.149.159,2
172.202.104.157,8
68.36.248.231,148
91.196.152.1,19
115.175.39.35,15
131.216.18.235,347
91.196.152.6,17
64.62.197.74,8
162.142.125.45,39
147.185.132.188,16
5.62.43.175,6
99.99.221.1,320
195.184.76.230,3
195.184.76.5,4
162.216.149.36,14
216.73.161.76,70
207.90.244.12,255
198.235.24.194,21
65.49.1.160,8
65.49.1.152,50
65.49.1.161,13
162.142.125.127,69
35.203.210.115,26
59.98.142.100,2
58.220.24.66,54
104.179.250.146,295
165.154.120.29,4
206.168.34.171,40
103.120.44.210,8
159.242.227.140,6
89.116.154.76,6
167.94.138.35,35
20.83.173.252,26
117.232.8.226,4
195.184.76.118,13
162.216.149.44,15
35.203.210.119,12
198.235.24.36,39
206.168.34.153,20
137.103.83.13,50
97.188.34.195,36
193.163.125.109,4
75.91.47.41,192
111.113.88.239,2
199.45.154.178,41
162.142.125.138,36
175.30.48.63,2
58.59.246.111,3
150.255.54.96,3
1.83.125.128,3
123.144.22.93,3
199.45.155.73,6
65.49.1.52,129
196.251.85.128,10
103.170.172.192,5
196.251.83.5,17
20.169.48.134,9
159.242.227.111,6
100.8.54.38,35
167.94.138.63,41
45.80.158.29,12
143.103.15.177,290
35.203.210.235,4
152.32.141.86,7
196.251.118.124,4
91.230.168.22,6
198.145.226.99,11
185.93.89.195,12
162.216.150.244,47
146.190.119.114,97
77.234.43.137,10
69.245.102.227,10
20.65.194.129,28
91.231.89.200,19
66.240.236.119,20
100.12.81.115,66
91.231.89.205,26
195.184.76.38,14
195.184.76.134,18
91.231.89.203,27
35.203.211.211,14
198.235.24.237,64
92.118.39.68,19
152.32.200.22,2
65.49.1.54,14
35.203.211.144,21
182.92.193.79,2
14.155.200.245,2
193.32.162.205,8
198.235.24.81,16
169.150.205.146,2
159.242.227.59,16
162.243.162.148,473
152.32.130.191,7
40.124.175.76,6
172.81.61.42,12
35.203.210.33,20
23.94.186.206,64
167.94.146.57,76
198.235.24.216,25
37.49.228.225,4
159.242.227.57,6
128.1.33.49,14
147.185.133.199,7
185.242.226.6,514
5.62.43.236,12
98.228.198.116,94
147.185.133.240,37
103.178.177.209,8
204.76.203.41,34
167.94.145.31,51
76.193.69.240,270
35.203.211.81,50
206.168.34.166,20
35.92.56.42,26
91.231.89.15,25
35.149.125.138,167
47.74.59.63,18
89.190.156.20,2
204.76.203.233,335
198.235.24.65,48
89.187.166.24,18
88.202.190.153,2
91.231.89.133,45
91.231.89.131,26
149.100.11.243,39
128.203.203.196,4
135.237.126.194,22
91.196.152.36,33
152.32.149.117,8
139.99.35.34,30
147.185.132.27,46
3.143.33.63,567
65.49.1.65,9
196.251.69.114,33
205.210.31.170,32
185.217.0.181,19
78.128.113.190,479
167.94.146.20,72
65.49.1.58,16
65.49.1.60,10
65.49.1.63,12
65.49.1.64,6
65.49.1.61,10
167.94.146.54,74
86.54.25.141,176
65.60.147.240,28
77.234.43.182,6
147.185.132.33,25
198.235.24.86,28
198.235.24.175,44
23.239.4.211,7
3.134.148.59,1855
77.234.43.168,6
172.236.228.222,37
76.71.24.229,39
147.185.133.204,35
91.196.152.176,26
98.117.196.219,114
198.235.24.228,22
64.62.156.119,10
64.62.156.108,125
147.185.133.99,16
128.1.43.245,6
205.210.31.89,31
160.191.88.149,68
5.62.43.140,6
20.65.194.68,15
176.65.148.80,25
20.169.106.201,8
200.105.156.212,16282
162.142.125.125,38
147.185.133.73,35
91.196.152.188,38
40.124.184.7,17
65.49.1.57,4
162.120.71.244,14
198.235.24.109,43
195.184.76.68,17
195.184.76.173,21
162.216.150.225,18
147.185.132.73,36
206.168.34.40,62
198.235.24.240,52
93.152.230.140,130
5.62.43.233,9
116.101.244.243,4
35.203.211.198,28
206.168.34.134,41
162.142.125.238,29
206.168.34.125,34
91.196.152.107,19
91.196.152.21,19
167.94.138.96,30
193.32.162.151,63
196.251.87.42,985
45.56.85.254,18
159.242.227.143,6
57.129.132.197,6
152.32.198.168,2
176.65.148.86,64
68.193.100.87,203
147.185.132.177,24
104.182.124.189,117
91.230.168.6,13
91.196.152.190,31
71.64.152.23,2
98.196.231.33,214
76.93.120.217,50
20.163.15.238,19
169.228.66.212,49
147.185.132.16,27
159.242.227.123,6
73.175.228.117,247
171.116.44.221,2
12.91.66.246,182
113.59.5.207,5
206.168.34.56,62
91.196.152.184,39
5.62.43.234,6
184.148.106.55,2
73.104.44.106,47
198.235.24.192,34
24.13.219.128,315
220.197.51.111,2
172.56.176.176,91
152.32.164.115,24
68.169.141.46,167
167.94.138.142,27
67.246.15.238,380
143.42.164.34,16
47.251.92.215,9
147.185.133.218,14
103.150.155.145,2
205.210.31.40,27
70.60.163.66,295
144.172.97.96,12
5.62.43.139,6
106.75.176.5,4
35.203.210.197,19
162.142.125.216,50
198.235.24.110,23
106.75.64.248,25
147.185.132.147,38
104.197.69.115,356
20.40.218.136,4
45.27.86.172,276
34.72.176.129,274
78.29.9.229,6
85.239.34.203,103
91.196.152.10,62
162.216.149.235,17
73.149.75.112,255
71.196.194.18,210
172.59.170.226,742
64.62.197.198,4
108.217.213.254,65
20.15.164.165,11
5.62.43.171,19
198.235.24.195,24
47.84.47.59,24
152.32.227.23,2
162.142.125.90,24
65.49.1.232,60
98.97.59.162,23
103.42.243.6,242
75.109.17.193,33
65.49.20.81,4
35.203.211.55,49
91.231.89.107,20
91.231.89.7,31
20.168.120.44,12
185.184.195.46,11
65.49.1.241,21
198.235.24.220,44
159.242.227.63,12
167.94.145.27,50
147.185.132.234,30
212.102.46.44,35
167.94.145.105,120
162.216.149.240,41
93.152.230.141,94
194.187.176.71,5
144.172.105.18,21
90.151.171.106,214
45.95.147.247,9
205.169.39.65,11
172.236.228.229,31
205.169.39.14,10
205.169.39.167,10
40.124.175.188,11
34.122.147.229,242
206.168.34.71,76
45.140.17.26,524
159.242.227.39,6
172.104.11.51,45
91.191.209.198,176
185.242.226.41,82
173.255.247.156,16
116.172.249.248,3
98.96.123.127,134
205.169.39.26,11
3.132.23.201,1967
162.142.125.91,42
221.13.92.9,4
162.194.21.89,112
183.95.159.133,6
116.172.248.108,4
59.173.135.149,3
216.218.206.67,87
185.73.23.133,91
45.56.100.206,14
91.231.89.109,36
49.113.92.59,2
216.218.206.83,4
65.49.20.66,58
196.251.114.29,80
65.49.20.110,8
68.186.26.68,11
69.228.212.178,61
96.126.106.177,24
35.203.210.139,13
170.64.134.89,5
167.94.145.108,120
162.216.150.71,31
96.126.98.20,22
72.14.186.195,18
65.49.20.126,4
24.165.203.102,97
167.94.138.168,45
98.254.185.36,28
147.185.133.224,4
152.32.149.178,10
108.64.195.10,75
118.193.36.107,18
50.116.44.20,17
91.196.152.26,78
147.185.132.198,33
147.185.133.34,20
107.150.101.57,13
185.242.226.54,484
213.67.85.229,4
147.185.133.82,13
3.130.96.91,2744
103.134.226.241,3
35.203.210.90,14
135.119.112.121,6
23.94.177.222,134
201.242.41.251,4
205.210.31.70,24
24.179.122.255,274
135.237.125.92,16
88.248.186.36,2
51.159.234.118,88
193.163.125.88,4
152.32.169.155,2
185.200.116.77,2
40.67.161.178,21
118.26.36.18,11
205.210.31.80,38
5.62.43.214,9
198.235.24.242,34
65.49.1.94,92
196.251.117.59,72
159.242.227.27,7
196.251.91.47,16
91.196.152.91,22
91.196.152.90,19
65.49.1.49,24
65.49.1.100,11
162.142.125.220,15
91.196.152.4,20
91.196.152.3,13
193.163.125.103,6
69.76.41.214,32
206.168.34.172,28
74.82.47.4,38
74.82.47.12,4
20.168.7.215,8
193.163.125.79,8
162.142.125.224,36
20.65.195.96,15
205.210.31.109,23
206.168.34.73,48
198.235.24.44,22
147.185.132.117,36
165.227.208.252,2
162.216.150.53,9
146.70.63.26,8
89.248.172.16,100
76.182.101.235,293
104.232.79.58,80
60.255.240.205,73
159.242.227.136,6
162.216.149.230,8
24.111.246.179,52
45.55.65.92,17
162.216.150.18,8
206.168.34.54,74
103.88.200.222,6
50.40.98.203,140
173.59.253.227,360
207.90.244.4,285
50.39.248.80,48
206.168.34.135,30
198.235.24.165,35
20.169.106.26,6
152.32.185.141,12
34.72.239.183,34
91.231.89.84,50
20.102.40.205,9
205.210.31.65,35
67.146.7.241,79
69.1.38.199,240
60.48.251.114,5
5.62.43.185,12
206.168.34.114,63
75.168.244.29,17
74.82.47.18,2
65.49.20.85,14
74.82.47.2,88
162.142.125.133,40
154.212.141.7,18
,0
159.242.227.46,12
45.147.250.233,34
96.234.66.148,375
183.143.175.157,5
205.210.31.108,30
162.216.150.24,19
117.244.196.173,2
35.203.210.11,19
135.125.107.138,4
47.149.243.150,23
91.196.152.111,14
162.216.149.180,21
20.64.105.236,6
59.97.242.90,4
99.70.116.244,123
147.185.100.8,375
167.94.145.91,18
167.94.146.51,128
45.188.200.26,76
73.132.137.38,240
34.120.162.240,5
65.49.1.108,61
182.74.167.37,8781
147.185.132.115,69
76.232.214.43,382
147.185.132.221,15
35.203.211.61,23
91.231.89.208,43
147.185.132.214,7
162.216.149.210,21
91.231.89.83,33
159.242.227.133,2
176.32.195.85,155
162.216.150.226,30
152.32.235.78,5
205.210.31.216,19
24.129.24.80,65
70.114.139.22,355
73.7.185.188,177
91.231.89.134,22
117.253.30.134,4
205.210.31.248,25
135.119.112.180,4
148.153.189.62,184
20.168.124.128,8
75.233.53.125,218
38.15.212.9,199
175.107.38.102,105
81.30.61.4,9
35.203.211.99,17
173.255.221.22,2
35.203.211.103,17
112.170.216.252,6
159.242.227.16,7
167.94.138.153,36
206.255.49.31,365
193.163.125.77,7
164.92.76.237,2
147.185.132.36,27
167.94.138.189,27
184.105.139.105,6
97.107.133.213,10
184.105.139.69,195
20.119.72.191,6
71.208.15.192,201
196.251.114.64,43
159.242.227.48,6
206.168.34.48,28
192.155.90.220,37
118.193.73.8,7
206.168.34.86,72
74.82.47.6,5
220.197.51.156,4
119.163.40.12,2
124.31.104.6,2
59.173.135.183,3
65.49.1.236,13
42.92.120.30,3
220.167.232.167,4
111.224.221.116,2
147.185.132.59,17
38.131.58.71,263
193.163.125.94,6
91.196.152.123,34
147.185.132.49,38
74.82.47.34,2
71.6.232.25,33
172.210.57.16,4
81.177.255.241,4
185.156.73.233,675
77.234.43.138,6
1.24.16.105,3
65.49.1.240,6
220.167.232.246,2
71.59.222.223,130
76.112.125.151,6
35.203.210.111,25
147.185.132.96,32
172.88.116.28,32
5.62.43.136,6
67.8.92.153,233
162.142.125.82,32
198.55.98.76,23
147.185.133.158,24
206.168.34.81,45
45.33.105.182,6
5.62.43.200,9
167.94.146.26,36
196.251.115.223,95
185.94.111.1,18
45.146.130.128,24
167.94.138.129,22
184.97.5.143,42
205.210.31.222,16
91.196.152.219,55
69.41.10.2,105
103.100.235.237,12
121.172.16.101,6
147.185.132.40,13
172.58.182.209,30
77.234.43.181,6
162.216.149.98,12
78.128.113.130,241
173.2.135.126,24
172.59.202.148,32
178.68.218.52,6
91.196.152.64,9
147.185.133.226,27
91.196.152.43,5
147.185.133.83,17
108.70.117.192,84
206.168.34.121,33
198.235.24.236,58
